"","city_airport"
"1","BNA/Nashville"
"2","BOS/Boston"
"3","DFW/Dallas-Fort Worth"
"4","EWR/Newark"
"5","HNL/Honolulu"
"6","JFK/New York-JFK"
"7","LAX/Los Angeles"
"8","LGA/New York-LaGuardia"
"9","MCO/Orlando"
"10","MIA/Miami"
"11","ORD/Chicago-O'Hare"
"12","RDU/Raleigh-Durham"
"13","SAT/San Antonio"
"14","SEA/Seattle-Tacoma"
"15","SJC/San Jose"
"16","SJU/San Juan"
"17","TPA/Tampa"
"18","LGW/London-Gatwick"
"19","YYZ/Toronto-Pearson"
"20","BDA/Bermuda"
"21","CDG/Paris-Charles de Gaulle"
"22","ORY/Paris-Orly"
"23","ACA/Acapulco"
"24","BRU/Brussels"
"25","CCS/Caracas"
"26","KIX/Ōsaka-Kansai"
"27","LIM/Lima"
"28","MAN/Manchester"
"29","PBC/Puebla"
"30","PTY/Panama City"
"31","ZRH/Zurich"
"32","LHR/London-Heathrow"
"33","SDQ/Santo Domingo"
"34","AKL/Auckland"
"35","SYD/Sydney"
"36","AUA/Aruba"
"37","BOG/Bogotá"
"38","FRA/Frankfurt am Main"
"39","KIN/Kingston"
"40","LYS/Lyon"
"41","NAS/Nassau"
"42","PAP/Port-au-Prince"
"43","POP/Puerto Plata"
"44","POS/Port of Spain"
"45","SXM/Sint Maarten"
"46","YVR/Vancouver"
"47","GDL/Guadalajara"
"48","GUA/Guatemala City"
"49","SAL/San Salvador"
"50","SJO/San José (CR)"
"51","ZIH/Zihuatanejo"
"52","YUL/Montréal"
"53","GRU/São Paulo"
"54","LPB/La Paz"
"55","MAR/Maracaibo"
"56","MDZ/Mendoza"
"57","MTY/Monterrey"
"58","TGU/Tegucigalpa"
"59","ARN/Stockholm"
"60","BHX/Birmingham"
"61","DUS/Düsseldorf"
"62","GLA/Glasgow"
"63","MEX/Mexico City"
"64","MUC/Munich"
"65","MXP/Milan-Malpensa"
"66","NRT/Tokyo-Narita"
"67","STN/London-Stansted"
"68","TXL/Berlin-Tegel"
"69","YOW/Ottawa"
"70","YWG/Winnipeg"
"71","CUN/Cancún"
"72","GCM/Georgetown"
"73","ANU/Antigua"
"74","BGI/Barbados"
"75","CUR/Curaçao"
"76","GND/Grenada"
"77","LRM/La Romana"
"78","UVF/St. Lucia-Hewanorra"
