"","origin","dest","dest_city_name","year","international_service","seats","service","service_ends","service_resumes","new_service","consecutive_streak","last_served","last_streak","years_since","previously_began","service_level"
"1","JFK","ABV","Abuja, Nigeria",2010,1,8384,1,1,NA,1,1,NA,NA,NA,NA,"Service Established, then Terminated"
"2","JFK","ACC","Accra, Ghana",2006,1,2503,1,0,NA,1,1,NA,NA,NA,NA,"Service Established"
"3","JFK","ACC","Accra, Ghana",2007,1,44166,1,0,0,0,2,NA,NA,NA,NA,"Service"
"4","JFK","ACC","Accra, Ghana",2008,1,57522,1,0,0,0,3,NA,NA,NA,NA,"Service"
"5","JFK","ACC","Accra, Ghana",2009,1,56989,1,0,0,0,4,NA,NA,NA,NA,"Service"
"6","JFK","ACC","Accra, Ghana",2010,1,50645,1,0,0,0,5,NA,NA,NA,NA,"Service"
"7","JFK","ACC","Accra, Ghana",2011,1,42098,1,0,0,0,6,NA,NA,NA,NA,"Service"
"8","JFK","ACC","Accra, Ghana",2012,1,45260,1,0,0,0,7,NA,NA,NA,NA,"Service"
"9","JFK","ACC","Accra, Ghana",2013,1,67507,1,0,0,0,8,NA,NA,NA,NA,"Service"
"10","JFK","ACC","Accra, Ghana",2014,1,64596,1,0,0,0,9,NA,NA,NA,NA,"Service"
"11","JFK","ACC","Accra, Ghana",2015,1,44761,1,0,0,0,10,NA,NA,NA,NA,"Service"
"12","JFK","ACC","Accra, Ghana",2016,1,44421,1,0,0,0,11,NA,NA,NA,NA,"Service"
"13","JFK","ACC","Accra, Ghana",2017,1,40009,1,0,0,0,12,NA,NA,NA,NA,"Service"
"14","JFK","ACC","Accra, Ghana",2018,1,47612,1,0,0,0,13,NA,NA,NA,NA,"Service"
"15","JFK","ACC","Accra, Ghana",2019,1,49001,1,0,0,0,14,NA,NA,NA,NA,"Service"
"16","JFK","ACC","Accra, Ghana",2020,1,33147,1,0,0,0,15,NA,NA,NA,NA,"Service"
"17","JFK","ACC","Accra, Ghana",2021,1,82791,1,0,0,0,16,NA,NA,NA,NA,"Service"
"18","JFK","ACC","Accra, Ghana",2022,1,79072,1,0,0,0,17,NA,NA,NA,NA,"Service"
"19","JFK","ACC","Accra, Ghana",2023,1,64997,1,NA,0,0,18,NA,NA,NA,NA,"Service"
"20","JFK","AGP","Malaga, Spain",2008,1,20274,1,0,NA,1,1,NA,NA,NA,NA,"Service Established"
"21","JFK","AGP","Malaga, Spain",2009,1,26068,1,0,0,0,2,NA,NA,NA,NA,"Service"
"22","JFK","AGP","Malaga, Spain",2010,1,17055,1,0,0,0,3,NA,NA,NA,NA,"Service"
"23","JFK","AGP","Malaga, Spain",2011,1,12175,1,0,0,0,4,NA,NA,NA,NA,"Service"
"24","JFK","AGP","Malaga, Spain",2012,1,12579,1,0,0,0,5,NA,NA,NA,NA,"Service"
"25","JFK","AGP","Malaga, Spain",2013,1,9192,1,0,0,0,6,NA,NA,NA,NA,"Service"
"26","JFK","AGP","Malaga, Spain",2014,1,10173,1,0,0,0,7,NA,NA,NA,NA,"Service"
"27","JFK","AGP","Malaga, Spain",2015,1,15748,1,0,0,0,8,NA,NA,NA,NA,"Service"
"28","JFK","AGP","Malaga, Spain",2016,1,19197,1,0,0,0,9,NA,NA,NA,NA,"Service"
"29","JFK","AGP","Malaga, Spain",2017,1,25562,1,0,0,0,10,NA,NA,NA,NA,"Service"
"30","JFK","AGP","Malaga, Spain",2018,1,18553,1,0,0,0,11,NA,NA,NA,NA,"Service"
"31","JFK","AGP","Malaga, Spain",2019,1,15230,1,1,0,0,12,NA,NA,NA,NA,"Service Terminated"
"32","JFK","AMM","Amman, Jordan",2008,1,24510,1,0,NA,1,1,NA,NA,NA,NA,"Service Established"
"33","JFK","AMM","Amman, Jordan",2009,1,41065,1,0,0,0,2,NA,NA,NA,NA,"Service"
"34","JFK","AMM","Amman, Jordan",2010,1,45362,1,0,0,0,3,NA,NA,NA,NA,"Service"
"35","JFK","AMM","Amman, Jordan",2011,1,16541,1,1,0,0,4,NA,NA,NA,NA,"Service Terminated"
"36","JFK","AMS","Amsterdam, Netherlands",1991,1,5780,1,0,NA,1,1,NA,NA,NA,NA,"Service Established"
"37","JFK","AMS","Amsterdam, Netherlands",1992,1,48098,1,0,0,0,2,NA,NA,NA,NA,"Service"
"38","JFK","AMS","Amsterdam, Netherlands",1993,1,60036,1,0,0,0,3,NA,NA,NA,NA,"Service"
"39","JFK","AMS","Amsterdam, Netherlands",1994,1,71731,1,0,0,0,4,NA,NA,NA,NA,"Service"
"40","JFK","AMS","Amsterdam, Netherlands",1995,1,67538,1,0,0,0,5,NA,NA,NA,NA,"Service"
"41","JFK","AMS","Amsterdam, Netherlands",1996,1,79495,1,0,0,0,6,NA,NA,NA,NA,"Service"
"42","JFK","AMS","Amsterdam, Netherlands",1997,1,76753,1,0,0,0,7,NA,NA,NA,NA,"Service"
"43","JFK","AMS","Amsterdam, Netherlands",1998,1,68666,1,0,0,0,8,NA,NA,NA,NA,"Service"
"44","JFK","AMS","Amsterdam, Netherlands",1999,1,62758,1,0,0,0,9,NA,NA,NA,NA,"Service"
"45","JFK","AMS","Amsterdam, Netherlands",2000,1,70150,1,0,0,0,10,NA,NA,NA,NA,"Service"
"46","JFK","AMS","Amsterdam, Netherlands",2001,1,69005,1,0,0,0,11,NA,NA,NA,NA,"Service"
"47","JFK","AMS","Amsterdam, Netherlands",2002,1,70180,1,0,0,0,12,NA,NA,NA,NA,"Service"
"48","JFK","AMS","Amsterdam, Netherlands",2003,1,67033,1,0,0,0,13,NA,NA,NA,NA,"Service"
"49","JFK","AMS","Amsterdam, Netherlands",2004,1,69766,1,0,0,0,14,NA,NA,NA,NA,"Service"
"50","JFK","AMS","Amsterdam, Netherlands",2005,1,73627,1,0,0,0,15,NA,NA,NA,NA,"Service"
"51","JFK","AMS","Amsterdam, Netherlands",2006,1,74628,1,0,0,0,16,NA,NA,NA,NA,"Service"
"52","JFK","AMS","Amsterdam, Netherlands",2007,1,74118,1,0,0,0,17,NA,NA,NA,NA,"Service"
"53","JFK","AMS","Amsterdam, Netherlands",2008,1,71795,1,0,0,0,18,NA,NA,NA,NA,"Service"
"54","JFK","AMS","Amsterdam, Netherlands",2009,1,23788,1,0,0,0,19,NA,NA,NA,NA,"Service"
"55","JFK","AMS","Amsterdam, Netherlands",2010,1,60776,1,0,0,0,20,NA,NA,NA,NA,"Service"
"56","JFK","AMS","Amsterdam, Netherlands",2011,1,74809,1,0,0,0,21,NA,NA,NA,NA,"Service"
"57","JFK","AMS","Amsterdam, Netherlands",2012,1,85247,1,0,0,0,22,NA,NA,NA,NA,"Service"
"58","JFK","AMS","Amsterdam, Netherlands",2013,1,112298,1,0,0,0,23,NA,NA,NA,NA,"Service"
"59","JFK","AMS","Amsterdam, Netherlands",2014,1,89148,1,0,0,0,24,NA,NA,NA,NA,"Service"
"60","JFK","AMS","Amsterdam, Netherlands",2015,1,131056,1,0,0,0,25,NA,NA,NA,NA,"Service"
"61","JFK","AMS","Amsterdam, Netherlands",2016,1,153452,1,0,0,0,26,NA,NA,NA,NA,"Service"
"62","JFK","AMS","Amsterdam, Netherlands",2017,1,158611,1,0,0,0,27,NA,NA,NA,NA,"Service"
"63","JFK","AMS","Amsterdam, Netherlands",2018,1,168164,1,0,0,0,28,NA,NA,NA,NA,"Service"
"64","JFK","AMS","Amsterdam, Netherlands",2019,1,180584,1,0,0,0,29,NA,NA,NA,NA,"Service"
"65","JFK","AMS","Amsterdam, Netherlands",2020,1,91342,1,0,0,0,30,NA,NA,NA,NA,"Service"
"66","JFK","AMS","Amsterdam, Netherlands",2021,1,90307,1,0,0,0,31,NA,NA,NA,NA,"Service"
"67","JFK","AMS","Amsterdam, Netherlands",2022,1,167942,1,0,0,0,32,NA,NA,NA,NA,"Service"
"68","JFK","AMS","Amsterdam, Netherlands",2023,1,169052,1,NA,0,0,33,NA,NA,NA,NA,"Service"
"69","JFK","ANU","St. Johns, Antigua and Barbuda",2009,1,6400,1,0,NA,1,1,NA,NA,NA,NA,"Service Established"
"70","JFK","ANU","St. Johns, Antigua and Barbuda",2010,1,12317,1,0,0,0,2,NA,NA,NA,NA,"Service"
"71","JFK","ANU","St. Johns, Antigua and Barbuda",2011,1,3840,1,1,0,0,3,NA,NA,NA,NA,"Service Terminated"
"72","JFK","ARN","Stockholm, Sweden",1991,1,6508,1,0,NA,1,1,NA,NA,NA,NA,"Service Established"
"73","JFK","ARN","Stockholm, Sweden",1992,1,43588,1,0,0,0,2,NA,NA,NA,NA,"Service"
"74","JFK","ARN","Stockholm, Sweden",1993,1,49828,1,0,0,0,3,NA,NA,NA,NA,"Service"
"75","JFK","ARN","Stockholm, Sweden",1994,1,32445,1,1,0,0,4,NA,NA,NA,NA,"Service Terminated"
"76","JFK","ARN","Stockholm, Sweden",1998,1,59465,1,0,1,0,1,1994,4,4,1991,"Service Resumed"
"77","JFK","ARN","Stockholm, Sweden",1999,1,61258,1,0,0,0,2,NA,NA,NA,NA,"Service"
"78","JFK","ARN","Stockholm, Sweden",2000,1,69365,1,0,0,0,3,NA,NA,NA,NA,"Service"
"79","JFK","ARN","Stockholm, Sweden",2001,1,49755,1,1,0,0,4,NA,NA,NA,NA,"Service Terminated"
"80","JFK","ARN","Stockholm, Sweden",2010,1,31062,1,0,1,0,1,2001,4,9,1998,"Service Resumed"
"81","JFK","ARN","Stockholm, Sweden",2011,1,34851,1,0,0,0,2,NA,NA,NA,NA,"Service"
"82","JFK","ARN","Stockholm, Sweden",2012,1,17347,1,0,0,0,3,NA,NA,NA,NA,"Service"
