"","origin","dest","first_stop","second_stop","ticket_carrier","pax","connections"
"1","DSM","ATL","",NA,"DL",2705,0
"2","DSM","AZA","",NA,"G4",2377,0
"3","DSM","CLT","",NA,"AA",1429,0
"4","DSM","DCA","",NA,"AA",2229,0
"5","DSM","DEN","",NA,"F9",2261,0
"6","DSM","DEN","",NA,"UA",3525,0
"7","DSM","DFW","",NA,"AA",3340,0
"8","DSM","DTW","",NA,"DL",1481,0
"9","DSM","IAH","",NA,"UA",1883,0
"10","DSM","LAS","",NA,"G4",2960,0
"11","DSM","LAS","",NA,"WN",2296,0
"12","DSM","LAX","",NA,"G4",347,0
"13","DSM","LGA","",NA,"DL",2619,0
"14","DSM","MCO","",NA,"F9",991,0
"15","DSM","MSP","",NA,"DL",930,0
"16","DSM","ORD","",NA,"AA",2865,0
"17","DSM","ORD","",NA,"UA",2138,0
"18","DSM","PGD","",NA,"G4",1869,0
"19","DSM","PHL","",NA,"AA",1498,0
"20","DSM","PHX","",NA,"AA",5537,0
"21","DSM","PHX","",NA,"F9",1002,0
"22","DSM","PHX","",NA,"WN",266,0
"23","DSM","PIE","",NA,"G4",2000,0
"24","DSM","SFB","",NA,"G4",2431,0
"25","DSM","SLC","",NA,"DL",968,0
"26","DSM","SRQ","",NA,"G4",155,0
"27","DSM","STL","",NA,"WN",1525,0
"28","DSM","VPS","",NA,"G4",352,0
"29","DSM","ABE","ATL",NA,"DL",22,1
"30","DSM","ABE","CLT",NA,"AA",8,1
"31","DSM","ABE","DTW",NA,"DL",29,1
"32","DSM","ABE","ORD",NA,"AA",22,1
"33","DSM","ABE","ORD",NA,"UA",34,1
"34","DSM","ABE","PHL",NA,"AA",8,1
"35","DSM","ABI","DFW",NA,"AA",42,1
"36","DSM","ABI","ORD","DFW","AA",2,2
"37","DSM","ABQ","DEN",NA,"UA",125,1
"38","DSM","ABQ","DFW",NA,"AA",168,1
"39","DSM","ABQ","IAH",NA,"UA",22,1
"40","DSM","ABQ","LAS",NA,"WN",52,1
"41","DSM","ABQ","MSP",NA,"DL",22,1
"42","DSM","ABQ","ORD","DEN","UA",1,2
"43","DSM","ABQ","ORD",NA,"AA",20,1
"44","DSM","ABQ","ORD",NA,"UA",2,1
"45","DSM","ABQ","PHX",NA,"AA",7,1
"46","DSM","ABQ","PHX",NA,"WN",10,1
"47","DSM","ABQ","SLC",NA,"DL",17,1
"48","DSM","ABQ","STL",NA,"WN",1,1
"49","DSM","ABR","MSP",NA,"DL",4,1
"50","DSM","ABY","ATL",NA,"DL",20,1
"51","DSM","ABY","DTW","ATL","DL",1,2
"52","DSM","ACK","CLT",NA,"AA",2,1
"53","DSM","ACK","DCA",NA,"AA",1,1
"54","DSM","ACK","ORD","LGA","AA",1,2
"55","DSM","ACT","DFW",NA,"AA",52,1
"56","DSM","ACV","DEN","LAX","UA",1,2
"57","DSM","ACV","DEN","SFO","UA",1,2
"58","DSM","ACV","DEN",NA,"UA",16,1
"59","DSM","ACV","ORD","LAX","UA",1,2
"60","DSM","ACV","ORD","SFO","UA",2,2
"61","DSM","AEX","ATL",NA,"DL",7,1
"62","DSM","AEX","DFW",NA,"AA",11,1
"63","DSM","AEX","IAH",NA,"UA",7,1
"64","DSM","AGS","ATL",NA,"DL",87,1
